"3","2012-01-14 02:05:00","-","7","2012-01-14 09:05:00","","","","","PUNCHED IN"
"3","2012-01-16 00:15:00","-","7","2012-01-16 07:15:00","","","","","PUNCHED IN"
"44","2012-01-16 00:34:00","-","7","2012-01-16 07:34:00","","","","","PUNCHED IN"
"10","2012-01-16 00:39:00","-","7","2012-01-16 07:39:00","","","","","PUNCHED IN"
"24","2012-01-16 00:42:00","-","7","2012-01-16 07:42:00","","","","","PUNCHED IN"
"34","2012-01-16 00:50:00","-","7","2012-01-16 07:50:00","","","","","PUNCHED IN"
"37","2012-01-16 00:51:00","-","7","2012-01-16 07:51:00","","","","","PUNCHED IN"
"41","2012-01-16 00:52:00","-","7","2012-01-16 07:52:00","","","","","PUNCHED IN"
"17","2012-01-16 00:54:00","-","7","2012-01-16 07:54:00","","","","","PUNCHED IN"
"16","2012-01-16 01:14:00","-","7","2012-01-16 08:14:00","","","","","PUNCHED IN"
"7","2012-01-16 01:14:00","-","7","2012-01-16 08:14:00","","","","","PUNCHED IN"
"19","2012-01-16 01:18:00","-","7","2012-01-16 08:18:00","","","","","PUNCHED IN"
"26","2012-01-16 01:28:00","-","7","2012-01-16 08:28:00","","","","","PUNCHED IN"
"27","2012-01-16 01:29:00","-","7","2012-01-16 08:29:00","","","","","PUNCHED IN"
"34","2012-01-16 01:29:00","-","7","2012-01-16 08:29:00","","","","","PUNCHED IN"
"45","2012-01-16 01:30:00","-","7","2012-01-16 08:30:00","","","","","PUNCHED IN"
"39","2012-01-16 02:08:00","-","7","2012-01-16 09:08:00","","","","","PUNCHED IN"
"19","2012-01-16 10:26:00","-","7","2012-01-16 17:26:00","","","","","PUNCHED IN"
"44","2012-01-17 00:27:00","-","7","2012-01-17 07:27:00","","","","","PUNCHED IN"
"3","2012-01-17 00:30:00","-","7","2012-01-17 07:30:00","","","","","PUNCHED IN"
"4","2012-01-17 00:33:00","-","7","2012-01-17 07:33:00","2012-01-02 10:08:00","-","7","2012-01-02 17:08:00","PUNCHED OUT"
"14","2012-01-17 00:43:00","-","7","2012-01-17 07:43:00","","","","","PUNCHED IN"
"24","2012-01-17 01:00:00","-","7","2012-01-17 08:00:00","","","","","PUNCHED IN"
"37","2012-01-17 01:02:00","-","7","2012-01-17 08:02:00","","","","","PUNCHED IN"
"7","2012-01-17 01:09:00","-","7","2012-01-17 08:09:00","","","","","PUNCHED IN"
"10","2012-01-17 01:09:00","-","7","2012-01-17 08:09:00","","","","","PUNCHED IN"
"16","2012-01-17 01:12:00","-","7","2012-01-17 08:12:00","","","","","PUNCHED IN"
"34","2012-01-17 01:12:00","-","7","2012-01-17 08:12:00","","","","","PUNCHED IN"
"34","2012-01-17 01:12:00","-","7","2012-01-17 08:12:00","","","","","PUNCHED IN"
"26","2012-01-17 01:15:00","-","7","2012-01-17 08:15:00","","","","","PUNCHED IN"
"19","2012-01-17 01:16:00","-","7","2012-01-17 08:16:00","","","","","PUNCHED IN"
"27","2012-01-17 01:23:00","-","7","2012-01-17 08:23:00","","","","","PUNCHED IN"
"39","2012-01-17 01:24:00","-","7","2012-01-17 08:24:00","","","","","PUNCHED IN"
"45","2012-01-17 01:33:00","-","7","2012-01-17 08:33:00","","","","","PUNCHED IN"
"16","2012-01-17 01:34:00","-","7","2012-01-17 08:34:00","","","","","PUNCHED IN"
"25","2012-01-17 01:49:00","-","7","2012-01-17 08:49:00","","","","","PUNCHED IN"
"17","2012-01-17 01:52:00","-","7","2012-01-17 08:52:00","","","","","PUNCHED IN"
"39","2012-01-17 02:31:00","-","7","2012-01-17 09:31:00","","","","","PUNCHED IN"
"44","2012-01-18 00:59:00","-","7","2012-01-18 07:59:00","","","","","PUNCHED IN"
"14","2012-01-18 01:01:00","-","7","2012-01-18 08:01:00","","","","","PUNCHED IN"
"4","2012-01-18 01:06:00","-","7","2012-01-18 08:06:00","2012-01-02 10:08:00","-","7","2012-01-02 17:08:00","PUNCHED OUT"
"3","2012-01-18 01:09:00","-","7","2012-01-18 08:09:00","","","","","PUNCHED IN"
"24","2012-01-18 01:09:00","-","7","2012-01-18 08:09:00","","","","","PUNCHED IN"
"16","2012-01-18 01:15:00","-","7","2012-01-18 08:15:00","","","","","PUNCHED IN"
"19","2012-01-18 01:16:00","-","7","2012-01-18 08:16:00","","","","","PUNCHED IN"
"26","2012-01-18 01:19:00","-","7","2012-01-18 08:19:00","","","","","PUNCHED IN"
"7","2012-01-18 01:20:00","-","7","2012-01-18 08:20:00","","","","","PUNCHED IN"
"37","2012-01-18 01:20:00","-","7","2012-01-18 08:20:00","","","","","PUNCHED IN"
